Wie viele Mitarbeiter zählt Ihr Startup? (Bitte eintragen.),“Ich persönlich habe viel Erfahrung im Thema Zusammenarbeit zwischen Startups und etablierten Unternehmen.”,“Das Thema Zusammenarbeit mit etablierten Unternehmen hat für mein Startup eine große strategische Relevanz und Bedeutung.”,“Der Stellenwert und die Bedeutung des Themas Zusammenarbeit zwischen Startups und etablierten Unternehmen wird sich in den nächsten Jahren erhöhen.”,“Die bisherigen Aktivitäten meines Startups in der Zusammenarbeit mit etablierten Unternehmen bewerte ich als erfolgreich.”,“Das bisherige Engagement meines Startups in der Zusammenarbeit mit etablierten Unternehmen hat sich in finanzieller und wirtschaftlicher Hinsicht ausgezahlt.”,“Die Zusammenarbeit mit etablierten Unternehmen bietet großes Potential für mein Startup.”,“Die -Learn- Phase ist für mein Startup in der Zusammenarbeit mit etablierten Unternehmen eine große Herausforderung.”,“Die -Match- Phase ist für mein Startup in der Zusammenarbeit mit etablierten Unternehmen eine große Herausforderung.”,“Die -Partner- Phase ist für mein Startup in der Zusammenarbeit mit etablierten Unternehmen eine große Herausforderung.”,"Startup Events (Wettbewerbe, Camps, Hackathons etc.)",Startup Scouting & Matching durch Dritte (Intermediäre),Mentoring & sonstige Service-Dienstleistungen,Kostenlose oder stark vergünstigte Produkte werden z. V. gestellt,Acceleratoren,Inkubatoren,Company Builder,Co-Working Spaces,Innovation Labs,Kunden-/Lieferanten Beziehungen,Gemeinsame Produktentwicklung & Innovationen,Lizenzierung,Joint Ventures,Strategische Allianzen,Corporate Venturing,Frühphasen Investitionen,Spätphasen Investitionen,Akquisitionen,Fusionen,Sonstiges,Welches der zuvor genannten Kooperationsmodelle wird Ihrer Meinung zukünftig an Bedeutung gewinnen und warum? (Bitte ausfüllen.),Zugang zu Kunden- und Vertriebsnetzwerk,Unternehmen als Referenzkunde gewinnen ,Zugang zu Markt- und Branchenwissen  ,Nutzung von Technologie- und Infrastruktur,Finanzielle Absicherung,Unterstützung durch Mentoring für den Geschäftsaufbau,Sonstiges,Worin sehen Sie für Ihr Startup die drei größten Chancen um mit etablierten Unternehmen zusammenzuarbeiten? (Bitte ausfüllen und Aufzählung absteigend nach Relevanz ordnen.),Interessante Unternehmen zu identifizieren ,Interessante Unternehmen anzusprechen,Einen geeigneten Ansprechpartner zu identifizieren          ,"Verträge zu gestalten (u.a. Patente, Urheberrechte) ",Kulturelle und organisationale Unterschiede zu meistern,Gemeinsame Mission & Ziele zu schaffen,Vertrauen & Verbindlichkeit herzustellen,Verlust von Geschwindigkeit,Auferlegung von Corporate-Richtlinien,Aufgabe der strategischen Flexibilität  ,Sonstiges,Ist schon mal eine Kooperation zwischen Ihrem Startup und einem etablierten Unternehmen aus Ihrer Sicht gescheitert? (Bitte ankreuzen.),"Wenn ja, warum? (Bitte ausfüllen.)","Welche der drei Phasen Learn, Match und Partner bereitet Ihnen und Ihrem Unternehmen die größten Schwierigkeiten? (Bitte ankreuzen.)",Welche drei “Dos” in der Zusammenarbeit mit etablierten Unternehmen können Sie anderen Personen weitergeben? (Bitte ausfüllen.),Welche drei “Dont`s” in der Zusammenarbeit mit etablierten Unternehmen können Sie anderen Personen weitergeben? (Bitte ausfüllen.),Warum könnte die Zusammenarbeit mit mittelgroßen Unternehmen einer Kooperation mit Großkonzernen vorgezogen werden? (Bitte ausfüllen.),Warum gehen mittelständische Unternehmen aus Ihrer Sicht aktuell seltener Kooperationen mit Startups als Großkonzerne ein? (Bitte ausfüllen.),Welche Art von Unterstützung wünschen Sie sich sich von der Politik im Hinblick auf das Thema? (Bitte ausfüllen.),Welche Art von Unterstützung wünschen Sie sich von der Wissenschaft und Forschung im Hinblick auf das Thema? (Bitte ausfüllen.)
 ,4,6,6,4,4,6,6,6,6,Negativ,Positiv,,,,,Wird von uns genutzt,,,,,,,,,,,,,,"Acceleratoren, Co-Working Spaces, Lernen/Verstehen",6,4,5,2,2,2,,"1. Langfristige Partnerschaften/Planungssicherheit
2. (Umsatz)-Volumen/Scale",6,6,6,6,6,6,6,6,6,6,,Ja,"- Unterschiedliche Erwartungshaltungen
- Change of Management
- Ziele der Zusammenarbeit nicht klar genug (auf Corp-Seite)",Match,,,"- Kürzere Entscheidungswege
- Öfters inhabergeführte Unternehmen (Skin in the game) + intrinsische Motivation + längerfristiger Zeithorizont (nicht gelistet)","- kein Zugang (Location)
- Mentalität (Startups schlechter/Image)
- Budgets = Töpfe noch nicht vorhanden",Keine. Politiker sollten weit weg bleiben.,"- mehr Austausch
- Unternehmerischer Spirit
- Entkopplung von alten Strukturen (Bosch, Siemens, usw.)"
20,4,6,5,6,,6,4,5,3,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",Neutral,Negativ,Positiv,"Neutral, Wird von uns genutzt",Neutral,"Neutral, Wird von uns genutzt",Positiv,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",,Negativ,Positiv,Neutral,Neutral,Neutral,Negativ,Negativ,,Gemeinsame Produktentwicklung,4,4,5,4,4,3,,"1. Umfang der F&E Projekte
2. Neue Technologien zusammen entwickeln zu können
3. User-Research Dank Usern des Unternehmen",3,4,6,3,5,4,5,6,3,,,Nein,,Match,Den richtigen Ansprechpartner zu identifizieren und sich mit der Geschäftsführung direkt in Kontakt setzen.,Die Essenz des Startups soll man nicht verlieren/vergessen.,"Erreichbarkeit, nicht mehr flexibel",Budget nicht immer da,"Immer mehr ""project calls"", wo Startups und Corporates sich zusammen bewerben sollten.","Zugang zu einer Bibliothek von Forschungsthemen, weniger Vertraulichkeit"
42,5,6,5,5,6,6,4,5,6,Neutral,Wird von uns genutzt,Neutral,Positiv,Neutral,Neutral,Positiv,Neutral,Neutral,Wird von uns genutzt,Wird von uns genutzt,Positiv,Neutral,Positiv,Wird von uns genutzt,Neutral,Neutral,Positiv,Neutral,,"Der Austausch, durch ein explizit ernannten AP auf Corproate Seite initiiert wird immer häufiger. Sprich jemand der zB ""Head of Excubator"" ist.",6,6,4,5,4,4,,"1. Zugang zu richtigem AP - Budget/Multiplikator
2. Success stay innerhalb des Unternehmens kommunizieren",1,2,4,3,3,4,5,5,5,4,Den richtigen AP finden (6),Nein,,Partner,"1. Erwartungen/Ziele festhalten und Verbindlichkeit schaffen
2. CEO Endorsement bekommen
3. APs direkt angehen mit Selbstbewusstsein","1. Aufgeben, wenn keine Antwort kommt
2. Ungeduldig sein
3. Kompromisse & Umdenken",,,,Bewusstsein schaffen
45,5,5,6,5,5,6,4,4,5,"Positiv, Wird von uns genutzt",Neutral,Neutral,Neutral,Negativ,,Positiv,Positiv,Neutral,Positiv,"Positiv, Wird von uns genutzt",Neutral,Neutral,"Positiv, Wird von uns genutzt",Positiv,"Positiv, Wird von uns genutzt",Positiv,Positiv,Neutral,,Partnerschaften,5,5,4,4,4,6,,"1. Netzwerkerweiterung
2. Schaffen von ""best practice cases""
3. Finanzielle Unterstützung",3,2,4,5,5,4,5,4,2,2,,Nein,,Learn,"1. Offenheit
2. Herausstellen von Win-Win Situationen
3. Selbstvertrauen in eigenes Geschäftsmodell",1. Zu große Erwartungen,"- bessere Erreichbarkeit der Entscheidungsträger
- geringe Aktivitäten mit Startups bisher","- ""need"" ist geringer
- Digitalisierungsthemen vermutlich weniger relevant",- Unterstützung von Gründern im Sinne der Herleitung von günstigen Bedingungen,- Gründung von Startup Initiativen aus Forschungsprojekten
150+,3,2,5,2,1,2,6,6,6,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",Negativ,Negativ,Negativ,Negativ,Negativ,Positiv,Neutral,,"Neutral, Wird von uns genutzt",,,"Positiv, Wird von uns genutzt",Negativ,"Negativ, Wird von uns genutzt","Neutral, Wird von uns genutzt",Neutral,Neutral,,Events für Match-Making/Multiplikatoren-Event,5,5,4,2,5,2,,"1. Wachstumsförderung zB Vertrieb
2. Finanzielle Absicherung zB Invest
3. Reformen",3,4,5,6,5,4,4,5,6,5,,Ja,Cultural Clash & Erwartungsmanagement,Match,"1. Know what you want
2. Richtigen Partner und AP finden
3. be prepared","1. Nicht alles einen Partner setzen / Abhängig vom Erfolg der Kooperation machen.
2. Ohne Ziel sein",Höhere Flexibilität und Geschwindigkeit,die Größe des Unternehmens,"Anreize schaffen, u.a. auch finanziell",Etablierung von Formaten zum Austausch/Matching
30,4,6,6,5,5,6,4,4,4,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",,,,,"Positiv, Wird von uns genutzt",,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",,,,,,,"Positiv, Wird von uns genutzt",,,"Akquisitionen, Kundenbeziehungen",6,6,3,3,5,3,,1. Kunden,3,3,4,1,3,3,3,5,5,3,,Ja,"- Entscheidungen werden immer wieder vertagt
- Betriebsrat hat sich gegen Kooperation ausgesprochen
- Finanzielle Möglichkeiten nicht mehr verfügbar",Match,"1. Fokus, den richtigen AP/Entscheider zu finden
2. Dialog!
3. Verständnis für kulturelle & organisationsspezifische Unterschiede Konzern-Startup",1. Erwartung an gleiche Geschwindigkeit im Konzern wie Startup,"Wenn inhabergeführt = schnellere Entscheidungswege, weniger Bürokratie, verkrustete Prozesse/Strukturen",Daily Business zu wichtig = keine dedizierten Mitarbeiter für Kooperation mit Startups,steuerliche Förderbarkeit von Firmensport auszuweiten,
-,6,,6,5,,6,,,6,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,,,,,Wird von uns genutzt,,,,,,,"alle, da sie - genau wie ""old economy"" andere Inhalte bieten, andere Möglichkeiten, andere Tools",6,6,6,6,3,6,,"1. Kaufmännisches Wissen erlangen
2. Marketingwissen erlangen
3. Führungsaufgaben lernen",6,6,5,6,6,5,5,6,6,6,Auf Augenhöhe kommunizieren (6),Ja,"unterschiedliche Erwartungen, finanzielle Dinge, ""Groß will klein"" vereinnahmen, Geschwindigkeit",Learn,,,,Weil sie keine Ressourcen im eigenen Unternehmen haben um neue Geschäftsmodelle allein aufs Gleis zu schieben.,"Mehr Bereitstellung von Risikokapital
Abschreibungen von Risikokapital auf Geberseite",Die Publikation von Notwendigkeit und Tools zur Umsetzung.
10,6,6,6,6,6,6,2,5,2,Neutral,Positiv,Positiv,Negativ,Neutral,Neutral,Neutral,Neutral,Neutral,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,Positiv,Positiv,Neutral,Neutral,Neutral,Neutral,Neutral,,"Gemeinsame Produktentwicklung/Innovation: Unternehmen sind dadurch schneller und agiler, Gegenseitiges Lernen",5,6,4,5,5,2,,"1. Strategische Allianzen und damit Absicherung
2. Langfristige Bindung
3. Großen Unternehmen zu helfen Innovationen zu verstärken",6,6,6,3,4,3,3,3,6,3,,Nein,,Match,"1. Bezahlte Workshops
2. Klare Ziele und KPIs
3. C-Level mitnehmen","1. Unbezahlte Workshops
2. Schwammige Ziele
3. nicht die richtigen Stakeholder zu haben",Beides macht für uns Sinn. Wir würden nichts vorziehen.,Sie finden nicht die geeigneten Startups. Sie sehen keinen Nutzen wodurch kein Druck.,,Matching
60,5,4,5,5,5,5,5,5,5,"Neutral, Wird von uns genutzt",Neutral,Negativ,Negativ,,,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",,"Positiv, Wird von uns genutzt",,,,,,,,,,,Klassische Lieferantenbeziehungen da Startups in immer mehr Geschäftsbereiche eindringen.,4,4,3,,2,1,,"1. Klassische Lieferantenbeziehung
2. Investition durch Corporate",,,,,,,,,,,,Ja,Zu lange Entscheidungsprozesse,Partner,,,,,,
7,6,6,6,4,4,6,5,5,4,"Neutral, Wird von uns genutzt","Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positiv,Negativ,Negativ,Negativ,Negativ,Positiv,Positiv,Neutral,Negativ,Negativ,,"Strategische Allianzen, weil beide Seiten extrem profitieren können und das Beste beider Welten vereinigen können.",6,5,4,5,5,6,,"1. Finanzierung durch Umsatz
2. Know How Transfer
3. Marktöffnung",3,4,5,6,6,6,5,5,6,5,,Ja,falsches Erwartungsmanagement auf beiden Seiten,Partner,"1. Richtigen Ansprechpartner finden
2. KPIs des Partners adressieren
3. Selbstbewusst auftreten","1. Verkauf ist nie ein no-brainer
2. kein Commitment von den Corporates einfordern
3. Überambitioniert sein","like-minded, schnelle Prozesse","- Sicherheit
- fehlendes Vertrauen
- Dominanz des Tagesgeschäfts","keine, alles vorhanden (PS.: Evtl. Steuererleichterungen, auch im Prozess der Erhebung für Startups)","- Best Cases veröffentlichen
- ""Ratgeber"" für erfolgreiche Kooperationsmodelle"
