Nr.,Position,Industrie,Firmen- Größe,Aussagen zu Plattformen
1,CEO,Gebäude- und Energietechnik,11–50,Aufbau und Kooperation
2,CEO und ExpertIn,"Tourismus, universitäre Forschung",2–10,"Gründung, Aufbau, Betrieb und Innovation"
3,CEO,Gesundheitswesen,11–50,"Gründung, Aufbau und Betrieb"
4,Vorstandsmitglied,Gewerblicher Handel und B2B- Netzwerk,501–1000,Aufbau und Betrieb
5,CEO,"Mode, B2B-Vertrieb",51–100,"Gründung, Aufbau und Betrieb"
6,ManagerIn,Digitale Medien,51–100,"Aufbau, Transformation"
7,CEO,Finanzwesen,1501–2500,"Aufbau, Digitalunternehmen"
8,GeschäftsführerIn,Logistik,11–50,"Gründung, Aufbau"
9,CEO und ExpertIn,Unternehmens- und Strategieberatung,10.000+,"Geschäftsmodellinnovation, Industrie 4.0"
10,PraktikerIn,"Plattformen, Ökosysteme",11–50,"Gründung, Auf- und Ausbau"
11,PraktikerIn,"Plattformen, Blockchain",51–100,"Gründung, Auf- und Ausbau"
12,PraktikerIn,"Plattformen, Ökosysteme",2–10,"Gründung, Auf- und Ausbau"
13,ExpertIn,Wirtschaftsforschung,/,"Digitalisierung, Strukturwandel, Wettbewerb"
14,ExpertIn,Industrieforschung,/,Industrie 4.0
15,ExpertIn,Produktionstechnik,/,Aufbau
16,ExpertIn,"Wirtschaftsinformatik, Industrieforschung",/,"Sharing-Plattformen, Gründung und Aufbau"
17,ExpertIn,"IoT-Plattformen, universitäre Forschung",/,"Architektur, Ingenieursysteme"
18,ExpertIn,"Jura, universitäre Forschung",/,Wettbewerb und Innovation
19,ExpertIn,Software,/,"Hidden Champions, Geschäftsmodellinnovation"
20,ExpertIn,Nachhaltiges Unternehmertum,/,Sharing Economy
21,ExpertIn,Maschinenbau,/,Industrie 4.0
